stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.824924,1,2344,-79.426318,,,,,YONGE ST / BAY THORN DR,0,296,
43.827024,2,2345,-79.426813,,,,,YONGE ST / UPLANDS AV,0,297,
43.810912,1,2342,-79.423127,,,,,YONGE ST / ELGIN ST,0,294,
43.814029,1,2343,-79.42381,,,,,YONGE ST / JOHN ST,0,295,
43.801684,1,2340,-79.420878,,,,,YONGE ST / MEADOWVIEW AV,0,292,
43.805238,1,2341,-79.421756,,,,,YONGE ST / GLEN CAMERON RD,0,293,
43.787532,2,2338,-79.417335,,,,,YONGE ST / CUMMER AV,0,290,
43.794272,1,2339,-79.418994,,,,,YONGE ST / OTONABEE AV,0,291,
44.246126,2,4110,-79.480603,,,,,METRO RD / NIDA DR,0,3771,
44.242622,2,4109,-79.476357,,,,,METRO RD / CHURCH ST,0,3770,
44.24948,2,4116,-79.481025,,,,,HIGHCASTLE AV / OLD HOMESTEAD RD,0,3777,
44.252618,2,4115,-79.481195,,,,,HIGHCASTLE AV / KERFOOT CRES,0,3776,
44.254372,1,4114,-79.481969,,,,,FERNCROFT DR / HIGHCASTLE AV,0,3775,
44.253436,2,4113,-79.485724,,,,,METRO RD / FERNCROFT DR,0,3774,
43.859781,1,3979,-79.546593,,,,,AMERICA AV / TREASURE RD,0,968,
44.243065,2,4118,-79.47715,,,,,METRO RD / CHURCH ST,0,3779,
44.24874,2,4117,-79.483632,,,,,OLD HOMESTEAD RD / METRO RD,0,3778,
43.802951,1,3995,-79.500223,,,,,KEELE ST / ADMINISTRATION RD,0,4522,
43.895565,1,2117,-79.439173,,,,,YORKLAND ST / BERNARD AV,0,270,
43.858586,2,2146,-79.434484,,,,,YONGE ST / BAIF BLVD,0,271,
43.856296,1,2148,-79.435841,,,,,HILLCREST MALL STOP # 2148,0,272,
43.836591,1,2310,-79.429351,,,,,YONGE ST STOP # 2310,0,273,
43.832738,1,2311,-79.428506,,,,,YONGE ST / LANGSTAFF RD,0,274,
43.83072,1,2312,-79.42804,,,,,YONGE ST / LONGBRIDGE RD,0,275,
43.828851,1,2313,-79.427575,,,,,YONGE ST / BUNKER RD,0,276,
43.826823,1,2314,-79.427091,,,,,YONGE ST / UPLANDS AV,0,277,
43.825278,1,2315,-79.42672,,,,,YONGE ST / THORNHILL AV,0,278,
43.813603,1,2316,-79.424027,,,,,YONGE ST / THORNRIDGE DR,0,279,
43.853325,1,5816,-79.546568,,,,,MAST RD / DEL FRANCESCO WAY,0,4689,
43.759412,2,3511,-79.596899,,,,,STEELES AV / GIHON SPRING DR,0,738,
43.817619,1,3345,-79.444961,,,,,ATKINSON AV / FLAMINGO RD,0,581,
43.889157,2,6836,-79.333999,,,,,ANGUS GLEN BLVD / GLENGORDON CRES,0,6478,
43.895406,1,2096,-79.433248,,,,,BERNARD AV / OLDHILL ST,0,2268,
43.898559,1,2097,-79.431747,,,,,BERNARD AV / VIEWMARK DR,0,2269,
43.897487,1,1957,-79.400402,,,,,ELGIN MILLS RD / REDSTONE RD,0,2262,
43.899597,1,2091,-79.438098,,,,,BERNARD AV / SQUIRE DR,0,2263,
